Nom;Liste des attributs;Identifiant produit;ean13;Nom catégorie par défaut;wholesale_price;Prix de vente HT;Prix de vente TTC avant remises;Montant de la remise;Prix barré TTC;Prix de vente TTC final;;Identifiant déclinaison;ean13 décl.;Référence déclinaison;Impact sur prix de vente (HT/TTC suivant PS version);Impact sur prix de vente TTC
TEE SHIRT FEMME NOIR BRODE DOS;L;1346;;VETEMENT;8,500000;20,833333;25,00;;25,00;25,00;;2316;2063743717800;;;
TEE SHIRT FEMME NOIR BRODE DOS;XXXL;1347;;VETEMENT;8,500000;20,833333;25,00;;25,00;25,00;;2319;2017118318109;;;
TEE SHIRT FEMME NOIR BRODE DOS;XXL;1348;;VETEMENT;8,500000;20,833333;25,00;;25,00;25,00;;2318;2039027714858;;;
TEE SHIRT FEMME NOIR BRODE DOS;XL;1349;;VETEMENT;8,500000;20,833333;25,00;;25,00;25,00;;2317;2005364385129;;;
TEE SHIRT FEMME ROSE LOGO TROPEZ ROSE RBR;XS;1350;;VETEMENT;8,500000;20,833333;25,00;;25,00;25,00;;2257;2088183610993;;;
TEE SHIRT FEMME ROSE LOGO TROPEZ ROSE RBR;XL;1351;;VETEMENT;8,500000;20,833333;25,00;;25,00;25,00;;2261;2071932587370;;;
TEE SHIRT FEMME ROSE LOGO TROPEZ ROSE RBR;XXS;1352;;VETEMENT;8,500000;20,833333;25,00;;25,00;25,00;;2256;2030466686911;;;
TEE SHIRT FEMME ROSE LOGO TROPEZ ROSE RBR;S;1353;;VETEMENT;8,500000;20,833333;25,00;;25,00;25,00;;2258;2018479813791;;;
TEE SHIRT FEMME ROSE LOGO TROPEZ ROSE RBR;L;1354;;VETEMENT;8,500000;20,833333;25,00;;25,00;25,00;;2260;2049268135688;;;
TEE SHIRT FEMME ROSE LOGO TROPEZ ROSE RBR;M;1355;;VETEMENT;8,500000;20,833333;25,00;;25,00;25,00;;2259;2014065191847;;;
TEE SHIRT FEMME ROSE LOGO TROPEZ ROSE RBR;XXXL;1356;;VETEMENT;8,500000;20,833333;25,00;;25,00;25,00;;2263;2041498028808;;;
TEE SHIRT FEMME ROSE LOGO TROPEZ ROSE RBR;XXL;1357;;VETEMENT;8,500000;20,833333;25,00;;25,00;25,00;;2262;2091421809608;;;
TEE SHIRT FEMMELOGO VICHY CŒUR;L;1358;;VETEMENT;8,500000;20,833333;25,00;;25,00;25,00;;2308;2067518617296;;;
TEE SHIRT FEMMELOGO VICHY CŒUR;XS;1359;;VETEMENT;8,500000;20,833333;25,00;;25,00;25,00;;2305;2033808357821;;;
TEE SHIRT FEMMELOGO VICHY CŒUR;S;1360;;VETEMENT;8,500000;20,833333;25,00;;25,00;25,00;;2306;2066728079948;;;
TEE SHIRT FEMMELOGO VICHY CŒUR;XXS;1361;;VETEMENT;8,500000;20,833333;25,00;;25,00;25,00;;2304;2024348375437;;;
